algorithm,size,time_ms
std_sort,small,1.0301
bubble_sort,small,76.8973
std_sort,medium,2.7969
bubble_sort,medium,464.052
std_sort,large,6.1671
bubble_sort,large,1905.71

cpu,memory,disk
"AMD Ryzen 7 5700G with Radeon Graphics ","15837358172","WDC WDBNCE0010PNC (WD Blue 1tb)"
